num_threads,spacing(mm),length(mm),force_mag(N),nonlinearity,memory
4,40.0,200.0,1.8518518518518519,0.5026494797665236,0.1573164663690567
4,50.0,250.0,1.8518518518518519,0.5197644036407886,0.16194584589280295
4,60.0,300.0,1.8518518518518519,0.4583549128275255,0.16693317412958703
4,70.0,350.00000000000006,1.8518518518518519,0.43640594712361674,0.18613652234383266
4,80.0,400.0,1.8518518518518519,0.41019570182008175,0.19954608263274565
4,90.0,449.99999999999994,1.8518518518518519,0.3739825004015651,0.19519738672774167
4,100.0,500.0,1.8518518518518519,0.4065105335210116,0.22566754481395201
4,110.0,550.0,1.8518518518518519,0.3840591338639799,0.23413196564346436
4,120.0,600.0,1.8518518518518519,0.36917506716013104,0.24023701202536615
4,130.0,650.0,1.8518518518518519,0.3728055824451908,0.24551701640744913
4,140.0,700.0000000000001,1.8518518518518519,0.35079859860897,0.2578852957581055
4,150.0,750.0,1.8518518518518519,0.3282872648897422,0.2404290699724115
4,40.0,200.0,1.25,0.5610266600933266,0.11004121026166988
4,50.0,250.0,1.25,0.512108113048902,0.1642338674928949
4,60.0,300.0,1.25,0.4668910530070393,0.1680212478069061
4,70.0,350.00000000000006,1.25,0.42141994030490426,0.1818245587732209
4,80.0,400.0,1.25,0.41553192399101946,0.19672274624637193
4,90.0,449.99999999999994,1.25,0.3963436154393016,0.22431615106456523
4,100.0,500.0,1.25,0.38543567613873436,0.2380974934127977
4,110.0,550.0,1.25,0.3780725632925378,0.24245811537168066
4,120.0,600.0,1.25,0.3699328927072715,0.2556705803332489
4,130.0,650.0,1.25,0.36525372659208577,0.27117054130380563
4,140.0,700.0000000000001,1.25,0.31243133138079376,0.25885391285202425
4,150.0,750.0,1.25,0.3459789347787259,0.2877375176686984
4,50.0,250.0,0.78125,0.5466113116861934,0.09962643104088484
4,60.0,300.0,0.78125,0.45250492461225555,0.15833126516605256
4,70.0,350.00000000000006,0.78125,0.4247925426877358,0.18352283207250292
4,80.0,400.0,0.78125,0.4268440413081437,0.19370394425870513
4,90.0,449.99999999999994,0.78125,0.39342144933874856,0.2107781609569534
4,100.0,500.0,0.78125,0.35266620023733763,0.2267872270354825
4,110.0,550.0,0.78125,0.3245118764937609,0.23957148705099743
4,120.0,600.0,0.78125,0.34695820176307046,0.26325096615648985
4,130.0,650.0,0.78125,0.33571201546633367,0.2726851108062769
4,140.0,700.0000000000001,0.78125,0.3298203025662128,0.29145088017014936
4,150.0,750.0,0.78125,0.3309929258934283,0.28279086513687135
4,60.0,300.0,0.4,0.7976245228824427,0.2045835038160158
4,70.0,350.00000000000006,0.4,0.5214182378206316,0.11085616231519807
4,80.0,400.0,0.4,0.3829149550602984,0.15934294659368653
4,90.0,449.99999999999994,0.4,0.34222899634444315,0.1919424681598248
4,100.0,500.0,0.4,0.3490883423089298,0.21563360626531014
4,110.0,550.0,0.4,0.30770639290593305,0.22354062045894174
4,120.0,600.0,0.4,0.30153969891258026,0.25011023314452513
4,130.0,650.0,0.4,0.28226475651530347,0.27069993539757853
4,140.0,700.0000000000001,0.4,0.30370986015358276,0.291610903206021
4,150.0,750.0,0.4,0.2929974216366176,0.28215641152731014
4,70.0,350.00000000000006,0.23148148148148148,0.8598122377005349,0.33548025821892136
